log_id,system_name,regulation,severity,event_type,timestamp,resolved
1,System_3,CMMC,Low,Policy Breach,2025-02-09 20:59:37,Yes
2,System_4,CMMC,Medium,Policy Breach,2025-04-04 14:41:37,No
3,System_2,NIST,High,Login Failure,2025-02-05 20:22:48,Yes
4,System_1,CMMC,Medium,Data Leak,2025-04-19 09:53:07,No
5,System_3,GDPR,High,Unauthorized Device,2025-02-26 12:03:12,Yes
6,System_5,GDPR,Medium,Unauthorized Device,2025-04-21 05:30:31,Yes
7,System_4,GDPR,High,Policy Breach,2025-02-03 21:28:48,No
8,System_1,NIST,High,Access Violation,2025-03-15 03:10:22,Yes
9,System_4,CMMC,Medium,Policy Breach,2025-01-18 04:58:27,No
10,System_3,CMMC,Low,Data Leak,2025-03-14 10:44:45,No
11,System_1,NIST,High,Access Violation,2025-05-02 18:34:32,No
12,System_4,NIST,Medium,Policy Breach,2025-02-01 21:32:55,No
13,System_2,CMMC,Low,Login Failure,2025-03-17 11:39:44,No
14,System_1,NIST,Low,Access Violation,2025-04-27 21:19:20,Yes
15,System_5,CMMC,Low,Login Failure,2025-04-03 23:19:01,Yes
16,System_1,NIST,Medium,Unauthorized Device,2025-04-09 15:22:38,No
17,System_1,GDPR,Medium,Access Violation,2025-02-12 18:35:23,No
18,System_3,GDPR,High,Unauthorized Device,2025-02-03 06:35:06,Yes
19,System_4,CMMC,Low,Policy Breach,2025-03-01 16:21:27,Yes
20,System_3,CMMC,Low,Unauthorized Device,2025-05-18 10:35:45,No
21,System_2,CMMC,Low,Access Violation,2025-03-15 21:10:25,No
22,System_5,GDPR,Low,Unauthorized Device,2025-04-01 06:47:31,Yes
23,System_5,NIST,Low,Data Leak,2025-05-21 10:09:00,No
24,System_3,GDPR,High,Access Violation,2025-04-30 05:04:46,No
25,System_5,NIST,Medium,Data Leak,2025-02-23 12:46:07,Yes
26,System_1,CMMC,Low,Unauthorized Device,2025-04-20 16:57:54,No
27,System_2,GDPR,High,Data Leak,2025-01-03 02:51:18,Yes
28,System_1,NIST,High,Policy Breach,2025-01-01 02:22:14,No
29,System_3,NIST,Medium,Policy Breach,2025-04-12 03:32:21,No
30,System_5,CMMC,High,Unauthorized Device,2025-01-03 11:55:25,No
31,System_5,GDPR,Medium,Unauthorized Device,2025-02-19 04:27:45,Yes
32,System_3,GDPR,Medium,Login Failure,2025-02-15 13:54:30,Yes
33,System_3,GDPR,Low,Unauthorized Device,2025-04-23 22:34:56,Yes
34,System_1,NIST,Medium,Access Violation,2025-01-14 17:02:50,Yes
35,System_4,CMMC,High,Unauthorized Device,2025-04-15 05:29:09,Yes
36,System_5,NIST,Low,Data Leak,2025-01-02 02:01:02,Yes
37,System_1,CMMC,High,Login Failure,2025-01-10 16:26:20,Yes
38,System_5,CMMC,Medium,Policy Breach,2025-05-02 21:39:07,Yes
39,System_3,NIST,High,Policy Breach,2025-04-19 18:20:57,Yes
40,System_1,CMMC,Low,Access Violation,2025-05-14 01:03:19,Yes
41,System_2,GDPR,Medium,Login Failure,2025-03-03 18:43:03,No
42,System_1,CMMC,High,Access Violation,2025-02-14 18:28:31,No
43,System_4,CMMC,Low,Unauthorized Device,2025-01-13 23:18:24,Yes
44,System_5,GDPR,Low,Access Violation,2025-01-10 06:55:22,No
45,System_5,CMMC,Medium,Policy Breach,2025-02-04 06:53:23,No
46,System_2,GDPR,High,Data Leak,2025-01-08 12:37:27,Yes
47,System_4,GDPR,Low,Access Violation,2025-04-06 10:47:08,No
